Lemma	PoS	Freq(ipm)	R	D	Doc
панамка	s	0.8	34	75	47
панацея	s	1.7	60	88	145
панда	s	1.1	21	66	24
пандемия	s	1.2	21	65	33
пандус	s	0.8	32	79	43
панегирик	s	0.7	42	86	53
панель	s	16.6	98	90	746
пани	s	2.3	43	78	63
паника	s	16.3	100	94	815
паникер	s	0.6	35	80	40
панихида	s	5.2	81	88	233
панк	s	4.0	66	73	126
панна	s	0.4	16	70	16
панно	s	3.2	65	81	131
панночка	s	0.8	22	57	26
панорама	s	6.5	87	91	355
пансион	s	3.2	66	82	128
пансионат	s	4.2	79	88	195
панталоны	s	1.2	42	82	74
панталык	s	0.4	21	76	25
пантеон	s	2.4	64	84	122
пантера	s	2.1	60	70	102
пантомима	s	1.7	53	84	91
панцирь	s	3.8	88	90	220
папа	s	143.4	100	91	2079
папаня	s	1.3	26	66	39
папарацци	s	0.6	31	83	41
папаха	s	3.4	72	87	150
папаша	s	9.9	85	89	386
папашка	s	0.6	20	66	22
папенька	s	1.2	44	77	52
паперть	s	2.0	60	87	124
папик	s	0.5	25	75	35
папироса	s	17.3	89	89	503
папироска	s	3.2	63	87	172
папирус	s	1.6	46	69	61
папка	s	29.7	97	91	731
папочка	s	6.6	75	87	272
папуас	s	1.1	47	82	64
папуля	s	0.6	18	65	25
пара	s	152.7	100	96	4354
парабола	s	0.6	39	85	48
параграф	s	3.6	80	87	192
парад	s	13.2	94	92	604
парадигма	s	7.6	65	79	264
парадиз	s	0.5	31	83	41
парадное	s	3.2	69	86	142
парадокс	s	16.4	98	88	807
паразит	s	5.6	92	92	321
паралитик	s	0.5	30	79	40
паралич	s	4.4	91	93	295
параллель	s	7.2	90	92	449
параметр	s	54.7	94	80	1943
паранджа	s	0.7	34	80	48
параноик	s	0.7	39	84	54
паранойя	s	1.4	59	86	93
парапет	s	2.9	73	89	157
парафин	s	1.1	45	83	64
парафраз	s	0.6	36	84	50
параша	s	3.3	66	83	116
парашют	s	9.9	93	90	313
пардон	s	0.8	40	81	53
парез	s	0.4	20	73	23
паренек	s	10.0	90	91	436
парение	s	0.9	53	88	69
паренхима	s	0.4	7	22	8
парень	s	140.3	100	92	2389
пари	s	4.2	87	90	211
парижанин	s	2.0	62	87	108
парижанка	s	0.7	37	84	50
парик	s	7.2	87	91	309
парилка	s	1.5	48	84	79
паритет	s	1.8	52	87	110
пария	s	0.6	38	85	49
парк	s	69.5	100	95	2230
паркет	s	8.4	92	92	430
паркинг	s	1.4	41	77	63
парковка	s	4.4	67	85	208
парламент	s	31.3	97	90	1443
пармезан	s	0.4	16	63	20
парная	s	1.4	55	86	85
парник	s	1.0	47	84	68
парнишка	s	6.5	87	89	326
парность	s	0.4	16	65	18
парняга	s	0.4	11	57	13
паровоз	s	11.4	96	89	454
паровозик	s	1.6	55	80	80
пародист	s	0.7	34	80	49
пародия	s	6.7	88	90	327
парок	s	0.6	30	82	48
пароль	s	5.8	94	90	285
паром	s	4.4	75	83	148
паромщик	s	0.6	17	64	21
паротит	s	1.7	15	53	20
пароход	s	24.5	96	88	528
пароходик	s	1.5	48	81	75
парочка	s	12.7	96	92	620
парсек	s	0.6	16	49	23
парта	s	13.3	96	87	461
партактив	s	0.5	25	77	28
партбилет	s	2.9	72	89	163
партбюро	s	2.1	55	84	84
партер	s	4.2	89	88	225
партиец	s	2.8	68	88	163
партизан	s	14.1	94	88	405
партитура	s	4.2	68	88	205
партия	s	250.4	100	92	4489
партком	s	5.5	81	87	201
партнер	s	67.1	100	92	2700
партнерша	s	5.2	77	81	200
парторг	s	3.5	70	84	140
парубок	s	0.6	17	58	21
парус	s	15.2	97	89	519
парусина	s	0.8	38	83	52
парусник	s	2.8	63	81	117
парфюм	s	1.8	53	70	84
парча	s	1.3	58	87	86
парша	s	0.5	21	70	25
паршивец	s	0.6	32	83	48
паря	s	1.0	46	84	69
пасека	s	1.9	60	84	93
пасечник	s	0.7	31	77	38
пасквиль	s	0.9	46	82	61
паскуда	s	1.4	37	82	83
паспорт	s	49.6	100	94	1461
пасс	s	0.9	45	85	66
пассаж	s	10.6	94	81	457
пассажир	s	47.4	100	94	1574
пассат	s	0.6	26	75	28
пассатижи	s	0.4	28	82	33
пассив	s	1.4	37	73	65
пассия	s	1.9	65	85	123
паста	s	6.3	95	90	324
пастбище	s	3.8	87	89	211
паства	s	4.2	68	83	188
пастель	s	0.4	28	80	31
пастила	s	0.7	30	78	35
пастор	s	6.0	60	65	95
пастораль	s	0.7	39	83	49
пастух	s	9.6	94	90	363
пастушка	s	0.9	31	76	45
пастушок	s	0.8	44	84	55
пастырь	s	6.4	79	72	221
пасть	s	11.8	94	90	501
пастьба	s	0.4	23	79	26
пасха	s	10.2	96	84	447
пасынок	s	1.7	64	87	106
пасьянс	s	2.4	71	90	144
патент	s	10.0	85	75	336
патер	s	0.4	23	78	27
патерик	s	0.6	8	55	12
патетика	s	1.4	57	89	99
патефон	s	3.3	69	87	139
патина	s	0.8	48	83	59
патио	s	1.0	25	57	37
патиссон	s	0.6	16	48	22
патлы	s	0.8	41	85	59
патогенез	s	1.7	14	66	76
патока	s	0.9	45	83	67
патология	s	7.2	91	85	376
патриарх	s	28.0	89	84	633
патриот	s	13.2	98	92	730
патриотка	s	0.5	29	80	38
патриций	s	1.4	50	75	68
патрон	s	25.2	99	92	738
патронаж	s	1.4	53	86	106
патронат	s	0.4	25	78	35
патронник	s	1.1	39	78	53
патронташ	s	0.7	39	84	48
патрубок	s	0.9	39	76	53
патруль	s	8.0	86	89	321
пауза	s	49.6	99	92	1371
паук	s	9.9	93	71	294
паутина	s	11.3	95	91	556
паутинка	s	1.6	54	85	97
паучок	s	0.9	39	82	51
пафос	s	12.2	99	93	677
пахан	s	2.8	52	58	83
пахарь	s	1.9	69	88	110
пахота	s	1.4	59	87	89
пацан	s	19.6	88	86	576
пацаненок	s	0.7	35	82	42
пацанка	s	0.4	17	56	20
пациенс	s	0.4	5	44	5
пациент	s	35.8	98	87	1008
пациентка	s	3.7	76	89	165
пацифист	s	1.0	48	86	64
пачка	s	36.5	100	92	1064
пашня	s	4.1	87	90	218
паштет	s	2.0	60	80	103
паяльник	s	1.3	50	82	69
паяц	s	1.0	48	85	64
певец	s	28.4	99	87	897
певица	s	16.5	91	85	558
певичка	s	0.7	37	83	47
певунья	s	0.4	26	79	33
певчий	s	0.8	35	77	45
педагог	s	27.1	97	90	934
педаль	s	8.6	93	93	439
педант	s	1.1	54	88	78
педераст	s	1.4	53	85	91
педиатр	s	1.9	53	67	87
педиатрия	s	0.5	25	77	37
педик	s	0.5	18	70	26
педикюр	s	0.9	39	73	48
педология	s	0.4	16	66	23
педофил	s	1.0	37	78	44
педофилия	s	0.5	21	70	26
педсовет	s	1.1	42	81	62
пейджер	s	3.3	64	77	163
пейзаж	s	24.3	99	95	1055
пейнтбол	s	0.5	19	72	23
пейс	s	0.8	29	75	38
пекарня	s	2.7	63	76	107
пекарь	s	0.9	47	85	64
пекло	s	2.3	76	91	164
пектин	s	0.4	22	77	25
пелена	s	5.9	91	91	349
пеленг	s	0.6	27	77	31
пеленка	s	4.7	91	85	266
пелерина	s	0.5	24	71	30
пеликан	s	1.0	36	73	46
пелотон	s	0.6	27	80	41
пельмень	s	8.0	96	87	289
пемза	s	0.5	24	72	28
пена	s	15.6	98	94	712
пенал	s	1.6	61	87	101
пенальти	s	1.6	42	75	73
пенаты	s	1.1	52	84	74
пенек	s	4.1	77	88	208
пение	s	21.3	99	93	903
пенис	s	2.3	39	44	47
пенка	s	2.2	64	83	113
пенобетон	s	1.1	11	54	23
пенопласт	s	0.8	37	82	51
пеночка	s	0.4	9	37	9
пенс	s	0.5	27	79	32
пенсион	s	0.5	21	69	28
пенсионер	s	23.9	99	92	1155
пенсия	s	53.9	100	93	1861
пенсне	s	4.0	80	88	167
пентиум	s	0.4	17	68	22
пентхаус	s	1.2	29	56	34
пень	s	9.3	92	90	414
пенье	s	1.1	54	87	71
пенька	s	0.4	24	79	30
пеньюар	s	0.9	34	75	49
пеня	s	3.1	58	83	159
пепел	s	12.8	96	93	626
пепелище	s	2.4	75	90	160
пепси	s	1.8	56	83	93
пептид	s	4.5	14	57	63
первач	s	0.5	31	83	36
первенец	s	3.4	80	91	214
перверсия	s	0.5	10	29	12
первое	s	14.9	100	96	955
первомай	s	0.8	41	84	52
пергамент	s	2.2	68	87	114
пергола	s	0.7	22	68	38
пердун	s	0.4	23	76	28
перебежка	s	1.5	59	88	100
перебой	s	3.9	88	92	270
перебор	s	5.1	94	92	313
переборка	s	2.3	59	80	90
переброс	s	0.5	24	69	29
перевал	s	7.1	88	85	231
перевалка	s	0.8	40	80	50
перевес	s	4.4	82	89	275
перевод	s	77.0	100	91	2577
перевоз	s	0.8	39	79	48
перевозка	s	29.1	94	87	979
переворот	s	16.7	100	91	722
перевязка	s	2.9	76	85	135
перевязь	s	1.2	52	81	72
перегар	s	2.5	61	89	180
перегиб	s	1.9	67	89	128
перегной	s	1.0	39	83	64
перегон	s	2.1	72	89	128
перегонка	s	0.5	32	84	40
перегрев	s	1.7	56	85	119
перед	pr	626.7	100	97	11334
перед	s	0.5	24	70	26
передача	s	100.1	100	91	3452
передачка	s	0.5	28	79	35
передел	s	9.4	78	89	525
переделка	s	5.0	93	92	307
передник	s	3.0	63	86	167
передняя	s	5.8	86	89	253
передо	pr	24.3	97	94	873
передовая	s	6.3	82	87	212
передовик	s	2.4	75	90	157
передок	s	2.7	58	75	104
передряга	s	1.7	67	88	122
передых	s	0.6	36	83	49
передышка	s	6.5	93	93	388
переезд	s	13.9	100	94	709
пережитое	s	3.1	83	92	221
пережиток	s	2.9	83	89	174
перезвон	s	1.5	66	89	115
перекат	s	2.0	61	87	109
перекачка	s	1.1	45	84	81
перекись	s	1.5	55	85	98
перекос	s	2.5	71	89	190
перекрест	s	0.5	12	45	14
перекур	s	2.3	75	90	159
перелесок	s	2.3	69	89	150
перелет	s	5.7	93	92	341
перелив	s	2.6	79	91	188
перелом	s	12.2	99	92	637
перемена	s	48.1	100	96	2050
переменка	s	1.0	40	82	61
перемет	s	0.4	18	73	21
перемирие	s	2.6	74	89	147
перемотка	s	0.4	21	63	23
перемычка	s	2.0	57	81	90
перенос	s	10.8	85	86	592
переноска	s	0.8	40	79	51
переносье	s	0.6	28	74	37
перепад	s	4.9	88	90	363
перепалка	s	2.1	75	91	161
перепел	s	0.9	36	78	47
перепелка	s	0.5	24	71	27
переписка	s	17.7	99	93	737
перепись	s	13.6	72	82	284
переплет	s	7.2	97	94	409
перепой	s	1.0	44	82	76
переполох	s	3.0	80	92	217
перепонка	s	2.3	67	78	131
переправа	s	5.8	86	89	257
перепуг	s	1.8	68	89	134
перепутье	s	0.9	41	84	62
перерыв	s	32.1	100	96	1479
пересадка	s	6.0	96	89	322
пересдача	s	0.4	19	73	21
пересказ	s	3.4	85	91	231
пересмотр	s	14.8	78	85	727
перестук	s	1.4	50	86	87
пересуды	s	1.9	68	89	135
пересчет	s	3.2	75	87	218
пересылка	s	4.8	68	72	129
переток	s	0.7	34	81	53
перетяжка	s	0.5	26	66	31
переулок	s	39.9	100	93	1227
перехват	s	5.1	83	88	239
перехлест	s	0.5	30	83	37
переход	s	89.3	100	90	3539
перец	s	15.2	96	77	461
перечень	s	30.6	100	86	1598
перешеек	s	1.5	44	79	64
перикард	s	0.4	8	27	9
перила	s	10.6	90	90	464
перильца	s	0.5	28	81	38
периметр	s	5.8	91	92	389
перина	s	2.4	65	87	138
период	s	204.2	100	90	6662
периодика	s	2.4	65	87	155
перипетия	s	4.1	86	91	288
перископ	s	1.0	38	81	51
перитонит	s	0.5	26	78	32
периферия	s	6.8	96	89	393
перл	s	2.5	69	82	139
перламутр	s	1.9	65	88	115
перловка	s	0.6	32	82	40
перманент	s	0.5	24	78	30
пермяк	s	4.4	53	34	102
пернатое	s	1.0	52	86	72
перо	s	34.5	99	94	1282
пероксид	s	0.4	10	53	16
перрон	s	10.6	83	90	382
перс	s	2.2	61	82	104
перси	s	0.4	27	80	28
персик	s	4.8	81	81	191
персона	s	14.2	99	94	735
персонаж	s	43.3	100	92	1613
персонал	s	31.0	99	90	1462
перст	s	3.6	83	90	234
перстенек	s	0.4	29	82	32
перстень	s	7.1	85	87	257
перуанка	s	0.4	11	64	12
перхоть	s	2.3	52	76	94
перчатка	s	19.8	96	93	795
перчик	s	0.5	30	82	35
перышко	s	3.3	78	88	198
песенка	s	15.7	95	92	633
песенник	s	0.5	30	82	35
песец	s	3.2	50	52	65
песик	s	1.4	57	80	82
пескарь	s	0.9	39	83	53
песнь	s	18.7	99	75	685
песня	s	160.1	100	90	2919
песок	s	55.3	100	94	1593
песочек	s	1.7	58	87	115
песочница	s	2.5	79	90	151
пессимист	s	1.8	61	89	119
пестик	s	1.4	42	66	54
пестицид	s	2.0	41	59	62
пестрота	s	1.7	76	91	139
песчаник	s	1.7	49	75	90
песчинка	s	3.0	79	89	169
петарда	s	1.2	46	82	61
петелька	s	1.3	55	86	83
петит	s	0.4	19	75	25
петиция	s	1.1	44	82	63
петлица	s	3.0	67	84	149
петля	s	19.4	99	92	778
петрушка	s	7.7	86	77	261
петуния	s	0.6	27	79	41
петух	s	16.0	96	90	593
петушок	s	4.2	77	82	171
пехота	s	14.5	91	88	390
пехотинец	s	4.9	75	78	188
печаль	s	19.4	100	94	885
печатание	s	1.5	62	86	100
печатка	s	0.7	32	81	45
печатник	s	1.1	38	71	48
печать	s	59.6	100	93	2348
печенег	s	0.7	23	40	25
печенка	s	3.3	76	88	190
печень	s	19.1	100	88	679
печенье	s	7.9	90	92	399
печка	s	27.0	94	90	807
печник	s	1.3	49	84	64
печурка	s	1.7	53	85	98
печь	s	32.6	100	93	952
пешеход	s	7.1	91	92	360
пешка	s	7.0	86	90	266
пешня	s	0.8	14	56	18
пещера	s	20.3	98	90	520
пещерка	s	0.5	16	67	22
пиала	s	1.5	44	80	61
пианино	s	7.6	87	89	305
пианист	s	10.1	85	86	354
пианистка	s	2.6	65	88	141
пиар	s	5.6	51	86	333
пиарщик	s	1.5	44	84	104
пиастр	s	0.5	14	53	14
пивзавод	s	0.6	27	75	36
пивко	s	3.0	78	88	178
пивная	s	4.6	83	91	237
пивнушка	s	0.6	31	81	44
пиво	s	60.3	100	94	1608
пивовар	s	1.4	34	73	53
пивоварня	s	0.5	15	62	24
пигалица	s	0.7	31	81	44
пигмей	s	0.8	44	85	62
пигмент	s	2.2	48	77	87
пидарас	s	0.6	20	72	23
пиджак	s	38.1	96	92	1054
пиджачок	s	2.5	66	88	160
пидор	s	1.1	32	78	56
пиетет	s	1.4	58	88	107
пижама	s	4.7	76	88	218
пижма	s	0.4	19	47	20
пижон	s	3.3	59	75	121
пижонство	s	0.6	37	84	49
пизда	s	0.9	20	64	25
пиздец	s	0.7	20	62	38
пиит	s	0.4	23	77	27
пика	s	5.0	97	91	291
пикап	s	1.6	46	82	70
пикет	s	2.7	70	88	165
пикетчик	s	0.8	25	67	31
пикировка	s	0.7	42	86	55
пикник	s	4.1	85	89	224
пиксел	s	0.5	14	67	18
пиксель	s	0.5	12	67	15
пила	s	9.2	97	90	372
пилигрим	s	0.9	36	80	46
пилинг	s	1.8	21	54	31
пилка	s	0.9	46	87	58
пилон	s	0.6	27	76	34
пилорама	s	0.7	28	74	35
пилот	s	26.9	96	90	717
пилотаж	s	2.0	63	86	123
пилотка	s	4.8	65	82	136
пилочка	s	0.6	26	79	33
пилюля	s	2.7	77	90	173
пингвин	s	3.9	70	78	125
пинкертон	s	0.7	26	62	30
пинок	s	4.4	79	89	256
пинцет	s	1.3	55	86	76
пион	s	2.3	65	81	116
пионер	s	14.8	99	93	637
пионерия	s	0.7	27	68	36
пионерка	s	1.2	55	86	71
пипетка	s	0.5	33	84	39
пипл	s	0.5	27	74	31
пирамида	s	16.0	99	91	644
пирамидка	s	1.7	55	77	76
пирамидон	s	0.4	19	70	23
пиранья	s	1.5	34	74	44
пират	s	15.2	90	68	267
пиратство	s	1.7	47	81	78
пирит	s	0.4	17	69	22
пирог	s	16.3	97	93	738
пирожное	s	7.3	91	91	349
пирожок	s	12.1	92	90	488
пиролиз	s	0.8	10	36	17
пирс	s	3.9	74	85	136
пирсинг	s	0.5	20	74	26
пирушка	s	1.3	56	87	88
пируэт	s	1.2	58	87	88
пиршество	s	2.6	80	91	179
писака	s	1.0	51	84	71
писание	s	15.6	95	76	585
писанина	s	1.5	60	88	114
писарь	s	2.9	54	77	98
писатель	s	166.3	100	93	2666
писец	s	1.7	36	69	53
писк	s	4.2	83	91	288
писсуар	s	1.1	50	84	67
пистолет	s	59.4	98	91	1072
пистон	s	0.6	29	80	37
писулька	s	0.4	24	80	30
письмена	s	1.6	66	88	109
письмецо	s	1.3	44	77	72
письмишко	s	0.4	18	61	21
письмо	s	304.3	100	92	4522
питание	s	44.8	100	92	1879
питерец	s	2.7	53	86	150
питие	s	0.7	43	86	57
питомец	s	3.9	84	91	238
питомник	s	5.8	77	81	224
питон	s	1.0	39	82	53
питье	s	5.0	93	93	314
пифия	s	1.2	24	68	28
пихта	s	2.5	46	80	91
пицца	s	3.3	69	83	137
пиццерия	s	0.8	36	80	42
пичуга	s	0.6	28	75	31
пичужка	s	0.5	21	66	28
пища	s	39.6	100	95	1620
пищеблок	s	0.6	33	82	42
пищевод	s	2.2	60	70	85
пиявка	s	2.4	58	69	92
плав	s	2.9	81	92	221
плавание	s	17.1	99	88	648
плаванье	s	1.2	53	87	84
плавбаза	s	1.4	22	65	24
плавень	s	0.5	15	68	16
плавка	s	1.3	25	70	58
плавки	s	2.2	78	88	102
плавление	s	1.7	24	69	60
плавник	s	3.3	77	87	156
плавность	s	1.5	62	89	113
плагиат	s	1.8	69	88	120
плазма	s	6.6	67	80	222
плазмида	s	1.4	9	52	25
плакат	s	20.2	99	93	889
плакатик	s	0.9	42	83	63
плакса	s	0.4	28	82	36
пламень	s	1.0	51	86	74
пламя	s	29.5	98	91	1025
план	s	235.3	100	93	7397
планер	s	1.8	47	60	62
планерка	s	1.0	32	75	39
планета	s	51.4	100	87	1587
планетка	s	0.4	14	53	15
планида	s	0.5	32	82	36
планка	s	8.4	97	92	546
планктон	s	0.8	36	81	48
плановик	s	0.5	31	81	34
плантация	s	3.5	84	88	205
планшет	s	5.3	67	80	177
планшетка	s	1.1	28	73	38
пласт	s	19.2	97	81	681
пластик	s	6.8	95	88	388
пластика	s	5.5	87	90	311
пластилин	s	2.2	73	86	124
пластина	s	6.5	93	89	314
пластинка	s	42.2	99	59	734
пластит	s	0.4	10	50	10
пластун	s	0.5	10	47	10
пластырь	s	2.7	63	85	141
плат	s	0.5	25	80	35
плата	s	53.0	100	87	2145
платан	s	1.4	52	84	81
платеж	s	30.3	87	86	1170
платежка	s	0.4	21	77	26
платина	s	2.5	59	74	90
платиноид	s	0.4	9	32	10
платность	s	0.5	26	78	33
плато	s	3.0	72	77	123
платок	s	40.3	97	91	1101
платочек	s	7.9	89	90	379
платформа	s	26.2	100	94	1026
платье	s	64.8	100	93	1539
платьице	s	3.7	81	90	232
платьишко	s	0.6	32	83	43
плафон	s	1.9	58	87	121
плаха	s	3.0	69	87	162
плац	s	4.2	74	87	170
плацдарм	s	4.6	77	77	190
плацебо	s	1.1	16	61	27
плацента	s	0.7	25	74	31
плацкарта	s	0.4	18	70	21
плач	s	12.2	96	91	598
плашка	s	0.6	31	79	35
плащ	s	27.7	98	91	829
плащаница	s	1.8	29	53	41
плащик	s	0.7	27	77	41
плебей	s	1.0	53	87	69
плебисцит	s	0.5	18	69	23
плебс	s	0.5	27	80	32
плева	s	1.2	30	56	33
плевел	s	0.8	43	81	57
плевок	s	3.2	80	90	208
плевра	s	0.8	12	35	12
плеврит	s	0.5	26	78	28
плед	s	4.8	75	87	215
плеер	s	1.3	35	67	58
плейбой	s	1.9	63	85	106
плейер	s	0.9	39	80	49
племя	s	23.1	99	92	838
племянник	s	15.8	98	92	545
племяш	s	0.6	26	79	35
плен	s	22.2	98	93	830
пленение	s	1.1	47	83	77
пленка	s	34.9	99	92	1128
пленник	s	6.5	89	89	288
пленница	s	1.4	54	87	91
пленный	s	11.5	88	87	292
пленочка	s	0.7	36	84	48
пленум	s	17.1	84	85	390
пленэр	s	0.8	37	79	53
плес	s	1.0	44	84	57
плесень	s	4.1	89	91	241
плеск	s	3.4	73	89	209
плетение	s	1.9	62	85	115
плетенка	s	0.4	28	81	37
плетень	s	3.6	66	84	154
плетка	s	1.1	44	83	63
плеть	s	4.0	83	89	233
плечики	s	1.4	57	87	93
плечико	s	2.5	62	88	159
плечо	s	236.4	100	92	3181
плешь	s	2.1	50	81	112
плеяда	s	2.3	65	89	159
плинтус	s	1.0	39	79	64
плита	s	37.3	100	94	1227
плитка	s	11.5	97	92	548
плов	s	1.9	62	87	99
пловец	s	3.1	79	88	154
плод	s	47.5	100	88	1758
пломба	s	2.2	67	81	115
пломбир	s	0.8	31	78	41
плоскость	s	20.0	99	87	881
плот	s	8.0	82	83	197
плотва	s	0.7	33	80	41
плотик	s	0.8	26	63	28
плотина	s	6.2	96	91	306
плотник	s	7.2	91	89	328
плотность	s	20.0	90	78	801
плоттер	s	0.6	6	31	12
плоть	s	26.9	96	85	974
плошка	s	1.6	55	87	105
площадка	s	70.6	100	96	2492
площадь	s	145.2	100	95	4265
плуг	s	4.2	86	87	187
плунжер	s	1.1	4	41	4
плут	s	1.3	41	68	60
плутоний	s	1.7	34	65	47
плюс	s	19.0	98	92	1124
плюха	s	0.6	33	82	44
плюш	s	0.7	41	85	55
плюшка	s	0.9	36	81	49
плющ	s	1.9	72	89	125
пляж	s	25.4	99	94	853
пляс	s	1.5	60	88	111
пляска	s	6.2	94	92	373
плясун	s	0.6	32	82	38
пневмония	s	3.3	75	88	153
по	pr	5786.7	100	97	33978
побег	s	22.7	98	79	687
побегушки	s	1.0	51	87	79
победа	s	124.0	100	94	4032
побелка	s	1.3	53	86	95
побережье	s	14.7	98	93	688
побирушка	s	0.6	29	75	38
поблажка	s	1.8	76	91	145
побои	s	3.3	85	91	203
побоище	s	2.8	80	92	204
побор	s	2.0	67	89	150
поборник	s	1.6	70	89	123
побратим	s	2.8	34	53	42
побудка	s	0.8	41	82	54
побывка	s	1.0	49	86	75
повадка	s	5.3	89	92	343
повар	s	13.3	96	92	522
поварешка	s	0.5	27	80	30
повариха	s	2.4	63	83	109
поведение	s	100.7	100	90	2962
повеление	s	3.7	64	68	122
поверка	s	4.9	90	89	269
поверх	pr	20.1	100	93	885
поверье	s	2.1	77	90	143
повеса	s	0.7	34	80	43
повестка	s	18.3	99	87	934
повесть	s	40.0	97	90	987
поветрие	s	1.0	58	88	83
поветь	s	0.5	13	61	14
повешение	s	0.8	40	85	49
повидло	s	1.9	54	84	98
повинная	s	1.4	60	88	92
повод	s	151.2	100	96	5611
поводок	s	6.9	90	88	296
поводырь	s	1.7	68	88	110
повозка	s	5.6	88	88	206
поволока	s	0.7	39	82	52
поворот	s	55.3	100	96	1993
повстанец	s	2.8	62	83	123
повтор	s	3.7	87	92	233
повышение	s	87.2	100	90	4086
повязка	s	10.0	92	91	416
поганец	s	0.8	30	80	54
поганка	s	1.5	56	73	84
погань	s	0.4	26	79	33
погашение	s	10.0	69	86	444
погибель	s	5.0	88	90	319
погибший	s	0.8	41	85	61
поговорка	s	9.3	98	94	533
погода	s	51.7	100	96	2085
погодка	s	0.7	38	83	49
погодок	s	0.6	25	63	31
поголовье	s	3.4	74	88	192
погон	s	17.9	92	93	703
погончик	s	0.4	21	75	27
погонщик	s	1.0	30	74	42
погоня	s	11.4	94	93	633
погорелец	s	1.4	37	48	49
погост	s	2.3	64	84	116
погреб	s	8.0	94	89	350
погребок	s	0.7	42	84	46
погром	s	7.3	90	91	343
погромщик	s	1.0	39	80	54
погрузка	s	6.0	91	86	252
погрузчик	s	1.2	32	66	57
под	pr	1126.0	100	97	17089
подагра	s	0.9	37	77	54
подарок	s	75.4	100	96	2543
подарочек	s	1.7	64	88	118
податель	s	0.5	29	75	41
подать	s	1.9	56	84	99
подача	s	26.7	98	84	1222
подачка	s	2.4	80	91	179
подаяние	s	1.5	70	90	118
подбой	s	0.4	20	70	22
подбор	s	13.9	100	91	843
подборка	s	3.3	73	90	221
подвал	s	33.5	98	93	1056
подвес	s	0.4	15	66	18
подвеска	s	11.5	88	88	478
подвесок	s	0.4	26	75	31
подвиг	s	39.1	99	90	1503
подвид	s	1.5	40	65	61
подвижка	s	2.1	63	86	142
подвижник	s	5.5	71	67	258
подвод	s	0.4	21	77	28
подвода	s	4.8	75	83	176
подводка	s	0.9	35	78	46
подводник	s	3.1	54	66	93
подвоз	s	0.8	42	84	51
подвой	s	0.9	19	64	24
подворье	s	4.8	83	89	218
подвох	s	4.2	88	93	295
подвязка	s	0.7	40	85	56
подглазье	s	0.5	27	80	38
подгонка	s	1.1	53	84	76
подгруппа	s	3.6	44	73	108
подгузник	s	0.7	28	68	35
поддавки	s	0.7	40	84	49
подданный	s	7.5	97	91	385
поддевка	s	0.6	26	74	33
подделка	s	8.2	97	92	444
поддержка	s	110.6	100	92	5024
поддон	s	2.0	62	77	111
поддувало	s	0.5	26	77	30
поделка	s	2.0	76	90	155
подельник	s	2.4	63	86	137
поджилки	s	0.5	29	82	40
поджог	s	2.1	77	90	145
подзадача	s	1.0	11	42	22
подземка	s	1.2	47	83	73
подзона	s	0.7	17	68	28
подиум	s	4.1	78	80	194
подкидыш	s	1.4	42	75	61
подкладка	s	4.5	92	92	291
подкласс	s	2.3	14	56	34
подклет	s	0.4	11	61	11
подкова	s	3.7	80	90	195
подковка	s	1.0	36	79	59
подкоп	s	1.7	53	61	82
подкорка	s	1.0	41	83	67
подкормка	s	2.2	63	87	126
подкуп	s	2.7	80	89	182
подле	pr	5.8	79	86	214
подлесок	s	1.7	52	82	88
подлет	s	0.6	37	85	50
подлец	s	10.3	85	90	458
подлещик	s	0.5	16	70	20
подлива	s	0.4	17	69	22
подливка	s	0.6	36	84	48
подлинник	s	4.9	91	90	261
подлог	s	1.9	74	91	133
подлодка	s	2.6	63	85	125
подложка	s	3.7	26	64	103
подлость	s	8.6	94	93	426
подлянка	s	0.9	44	84	66
подмена	s	4.1	94	93	284
подметка	s	2.2	64	88	143
подмога	s	3.6	82	88	210
подмостки	s	3.1	77	88	186
подмышка	s	3.2	71	88	184
подначка	s	0.8	38	85	53
подножие	s	7.3	95	92	410
подножка	s	5.3	85	91	308
подножье	s	1.8	68	87	111
поднос	s	11.6	91	91	452
подносик	s	0.6	27	73	35
поднятие	s	3.9	86	89	264
подо	pr	4.0	84	91	257
подобие	s	16.5	98	95	876
подобно	pr	29.9	97	94	1317
подобное	s	0.7	20	71	34
подогрев	s	2.5	68	87	170
подойник	s	0.4	13	64	19
подол	s	8.0	82	88	345
подонок	s	7.1	87	91	338
подоплека	s	4.2	87	91	304
подотдел	s	0.4	21	73	21
подошва	s	10.9	96	91	523
подпалина	s	0.5	28	79	37
подписант	s	0.8	31	79	51
подписка	s	9.9	93	89	469
подписчик	s	2.4	52	84	157
подпись	s	40.5	100	92	1553
подпитие	s	1.0	52	86	78
подпитка	s	1.7	64	89	137
подпол	s	1.5	49	77	78
подполье	s	7.5	96	92	364
подпорка	s	1.6	74	91	130
подпруга	s	0.6	23	75	32
подпункт	s	3.4	51	71	132
подраздел	s	1.1	31	70	49
подрамник	s	0.8	44	85	55
подрост	s	2.3	27	70	58
подросток	s	35.4	100	95	1323
подруга	s	79.4	100	91	1700
подружка	s	19.2	94	91	736
подручный	s	2.3	75	88	147
подрыв	s	5.0	77	90	307
подрывник	s	0.7	30	79	41
подряд	s	3.7	61	60	132
подрядчик	s	8.6	80	74	323
подрясник	s	0.6	22	69	27
подсадка	s	0.7	28	77	33
